Title of Product,Link of Product,Item No of Ebay,Description,Condition,Price,Dict Data Multifield,image,Shipping Charge,Courier,Return Policy
Sebago Mens Loafers Slip On Shoes Brown B76654 Leather Casual Dress 8.5 New,https://www.ebay.com/itm/Sebago-Mens-Loafers-Slip-On-Shoes-Brown-B76654-Leather-Casual-Dress-8-5-New/193243435599?hash=item2cfe34d24f:g:0y4AAOSwRi9d6ct7,193243435599,"
Sebago Mens Loafers Slip On Shoes Brown Genuine Leather Casual Dress 8.5 New

Size 8.5

Brand: Sebago
Style: Loafers & Slip Ons Shoes 
Size: 8.5
Color: Brown
Upper Material: Leather
Pattern: Solid 
Closure: Slip On 

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day",New without box,US $39.99,"{' Condition': 'New without box', ' Size': '8.5', ' Color': 'Brown', ' Country/Region of Manufacture': 'Unknown', ' Secondary Color': 'None', ' Department': 'Men', ' Euro Size': 'Unknown', ' Style': 'Slip-On', ' Closure': 'Slip On', ' Pattern': 'Solid', ' Occasion': 'Casual', ' Type': 'Dress', ' Trim Material': 'Leather', ' Features': 'None', ' Brand': 'Sebago', "" US Shoe Size (Men's)"": '8.5', ' Shoe Width': 'M', ' Upper Material': 'Leather', ' Lining Material': 'Leather', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/0y4AAOSwRi9d6ct7/s-l300.jpg,https://i.ebayimg.com/images/g/UmAAAOSwkYld6ct8/s-l300.jpg,https://i.ebayimg.com/images/g/VtgAAOSwP0Zd6ct9/s-l300.jpg,https://i.ebayimg.com/images/g/nxIAAOSwl2dd6ct-/s-l300.jpg,https://i.ebayimg.com/images/g/0BoAAOSwNhNd6ct~/s-l300.jpg,https://i.ebayimg.com/images/g/A~IAAOSwUrxd6cuA/s-l300.jpg,https://i.ebayimg.com/images/g/4goAAOSwg~Rd6cuB/s-l300.jpg,https://i.ebayimg.com/images/g/0y4AAOSwRi9d6ct7/s-l300.jpg,https://i.ebayimg.com/images/g/UmAAAOSwkYld6ct8/s-l300.jpg,https://i.ebayimg.com/images/g/VtgAAOSwP0Zd6ct9/s-l300.jpg,https://i.ebayimg.com/images/g/nxIAAOSwl2dd6ct-/s-l300.jpg,https://i.ebayimg.com/images/g/0BoAAOSwNhNd6ct~/s-l300.jpg,https://i.ebayimg.com/images/g/A~IAAOSwUrxd6cuA/s-l300.jpg,https://i.ebayimg.com/images/g/4goAAOSwg~Rd6cuB/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas NMD R1 Mens Running Shoes Gray Lace Up Flexible Sneakers S81881 18 New,https://www.ebay.com/itm/Adidas-NMD-R1-Mens-Running-Shoes-Gray-Lace-Up-Flexible-Sneakers-S81881-18-New/193257280454?hash=item2cff0813c6:g:sAEAAOSwff5d9YRZ,193257280454,"

Adidas NMD R1 Mens Running Shoes Gray Lace Up Flexible Sneakers S81881 18 New

Brand: Adidas
Style: Running Shoes 
Size: 18
Color: Gray
Style Number: S81881
Secondary Color: Green
Activity: Running
Model: Adidas NMD_R1
Euro Size: 53 1/3
Pattern: Solid 
Fastening: Lace Up
Year: 2016
Features: Flexible
Shoe Height: Low Top
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business dayThis listing was easily created using the SellHound Posting App!",New without box,US $175.00,"{' Condition': 'New without box', ' Brand': 'adidas', ' Pattern': 'Solid', ' Style': 'Running Shoes', ' Fastening': 'Lace Up', ' Size': '18', ' Features': 'Flexible', ' Color': 'Gray', ' Shoe Height': 'Low Top', ' Style Number (Mpn)': 'S81881', ' Country/Region of Manufacture': 'Vietnam', ' Secondary Color': 'Green', ' Year': '2016', ' Activity': 'Running', ' Model': 'Adidas NMD_R1', ' Euro Size': '53 1/3', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/sAEAAOSwff5d9YRZ/s-l300.jpg,https://i.ebayimg.com/images/g/VXEAAOSwPa9d9YRa/s-l300.jpg,https://i.ebayimg.com/images/g/VWYAAOSwpeBd9YRb/s-l300.jpg,https://i.ebayimg.com/images/g/xM8AAOSwSRtd9YRb/s-l300.jpg,https://i.ebayimg.com/images/g/jtkAAOSwKyBd9YRc/s-l300.jpg,https://i.ebayimg.com/images/g/FW8AAOSw2Rdd9YRd/s-l300.jpg,https://i.ebayimg.com/images/g/KGQAAOSwbjpd9YRd/s-l300.jpg,https://i.ebayimg.com/images/g/sAEAAOSwff5d9YRZ/s-l300.jpg,https://i.ebayimg.com/images/g/VXEAAOSwPa9d9YRa/s-l300.jpg,https://i.ebayimg.com/images/g/VWYAAOSwpeBd9YRb/s-l300.jpg,https://i.ebayimg.com/images/g/xM8AAOSwSRtd9YRb/s-l300.jpg,https://i.ebayimg.com/images/g/jtkAAOSwKyBd9YRc/s-l300.jpg,https://i.ebayimg.com/images/g/FW8AAOSw2Rdd9YRd/s-l300.jpg,https://i.ebayimg.com/images/g/KGQAAOSwbjpd9YRd/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Merrell Womens Siren Hex Q2 Waterproof Hiking Shoes Gray Lace Up J09428 5 M New,https://www.ebay.com/itm/Merrell-Womens-Siren-Hex-Q2-Waterproof-Hiking-Shoes-Gray-Lace-Up-J09428-5-M-New/193305685983?hash=item2d01eaafdf:g:bqAAAOSwJYVeIyx~,193305685983,"

Merrell Womens Siren Hex Q2 Waterproof Hiking Shoes Gray Lace Up J09428 5 M New

Brand: Merrell
Size: 5
Style: Hiking Shoes Boots 
Color: Gray
Eu Size: 35
Width: M
Style Number: J09428
Shoe Height: Low Top
Activity: Hiking Trail
Secondary Color: Pink
Pattern: Solid 
Fastening: Lace Up
Features: Waterproof

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-Measurements are approximate, please measure and check your favorite items at home to estimate fit
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New with box,US $50.00,"{' Condition': 'New with box', ' Color': 'Gray', ' Shoe Height': 'Low Top', ' Brand': 'Merrell', ' Activity': 'Hiking Trail', ' Size': '5', ' Secondary Color': 'Pink', ' Style': 'Hiking Shoes Boots', ' Pattern': 'Solid', ' Eu Size': '35', ' Fastening': 'Lace Up', ' Width': 'M', ' Features': 'Waterproof', ' Style Number (Mpn)': 'J09428', ' UPC': '801100642240'}",",https://i.ebayimg.com/images/g/bqAAAOSwJYVeIyx~/s-l300.jpg,https://i.ebayimg.com/images/g/F20AAOSwlTheIyyA/s-l300.jpg,https://i.ebayimg.com/images/g/OW4AAOSwqZFeIyyB/s-l300.jpg,https://i.ebayimg.com/images/g/IXAAAOSwpr9eIyyC/s-l300.jpg,https://i.ebayimg.com/images/g/xPEAAOSwDuleIyyD/s-l300.jpg,https://i.ebayimg.com/images/g/vx4AAOSw9-ZeIyyE/s-l300.jpg,https://i.ebayimg.com/images/g/ma8AAOSwwRReIyyF/s-l300.jpg,https://i.ebayimg.com/images/g/bqAAAOSwJYVeIyx~/s-l300.jpg,https://i.ebayimg.com/images/g/F20AAOSwlTheIyyA/s-l300.jpg,https://i.ebayimg.com/images/g/OW4AAOSwqZFeIyyB/s-l300.jpg,https://i.ebayimg.com/images/g/IXAAAOSwpr9eIyyC/s-l300.jpg,https://i.ebayimg.com/images/g/xPEAAOSwDuleIyyD/s-l300.jpg,https://i.ebayimg.com/images/g/vx4AAOSw9-ZeIyyE/s-l300.jpg,https://i.ebayimg.com/images/g/ma8AAOSwwRReIyyF/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Mens Running Shoes NMD Xr1 Pk Blue Black Lace Up Low Top S32212 20 New,https://www.ebay.com/itm/Adidas-Mens-Running-Shoes-NMD-Xr1-Pk-Blue-Black-Lace-Up-Low-Top-S32212-20-New/193265349545?hash=item2cff8333a9:g:0SQAAOSwEgRd~Sas,193265349545,"

Adidas Men's Running Shoes NMD Xr1 Pk Blue Black Lace Up Low Top S32212 20 New

Size 20, no original box.

Brand: Adidas
Style: Running Shoes 
Size: 20
Color: Blue
Style Number: S32212
Secondary Color: Black
Activity: Running
Model: NMD Xr1 Pk
Pattern: Solid 
Fastening: Lace-Up
Shoe Height: Low Top
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $175.00,"{' Condition': 'New without box', ' Color': 'Blue', ' Activity': 'Running', ' Brand': 'adidas', ' Model': 'NMD Xr1 Pk', ' Style': 'Running Shoes', ' Pattern': 'Solid', ' Size': '20', ' Fastening': 'Lace Up', ' Style Number (Mpn)': 'S32212', ' Shoe Height': 'Low Top', ' Secondary Color': 'Black', ' Country/Region of Manufacture': 'Vietnam', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/0SQAAOSwEgRd~Sas/s-l300.jpg,https://i.ebayimg.com/images/g/0cwAAOSw63td~Sas/s-l300.jpg,https://i.ebayimg.com/images/g/72AAAOSw-mtd~Sat/s-l300.jpg,https://i.ebayimg.com/images/g/IakAAOSws65d~Sau/s-l300.jpg,https://i.ebayimg.com/images/g/yaMAAOSw61Bd~Sav/s-l300.jpg,https://i.ebayimg.com/images/g/9KIAAOSw-qld~Saw/s-l300.jpg,https://i.ebayimg.com/images/g/0SQAAOSwEgRd~Sas/s-l300.jpg,https://i.ebayimg.com/images/g/0cwAAOSw63td~Sas/s-l300.jpg,https://i.ebayimg.com/images/g/72AAAOSw-mtd~Sat/s-l300.jpg,https://i.ebayimg.com/images/g/IakAAOSws65d~Sau/s-l300.jpg,https://i.ebayimg.com/images/g/yaMAAOSw61Bd~Sav/s-l300.jpg,https://i.ebayimg.com/images/g/9KIAAOSw-qld~Saw/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Sebago Mens Penny Loafers Burgundy Red Leather Slip On Dress Shoes 7 EEE New,https://www.ebay.com/itm/Sebago-Mens-Penny-Loafers-Burgundy-Red-Leather-Slip-On-Dress-Shoes-7-EEE-New/193312836150?hash=item2d0257ca36:g:PzcAAOSwm6xeKcrm,193312836150,"

Sebago Men's Penny Loafers Burgundy Red Leather Slip On Dress Shoes 7 EEE New

Triple wide
Burgundy

Brand: Sebago
US Shoe Size: 7
Width: Extra Wide 
Style: Loafers & Slip Ons
Material: Leather
Color: Burgundy
Euro Size: EUR 40
Pattern: Solid
Upper Material: Leather
Size: 7
Department: Men
Heel Height: Low (1-1.9 In)
Shoe Width: EEE
Size Type: Extra Wide
Toe Shape: Round Toe
Type: Dress
Outsole Material: Leather
Shoe Shaft Style: Low Top

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-Measurements are approximate, please measure and check your favorite items at home to estimate fit
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $39.99,"{' Condition': 'New without box', ' Brand': 'Sebago', ' Size': '7', "" US Shoe Size (Men's)"": '7', ' Department': 'Men', ' Width': 'Extra Wide', ' Heel Height': 'Low (1-1.9 in)', ' Style': 'Loafers & Slip Ons', ' Shoe Width': 'EEE', ' Material': 'Leather', ' Size Type': 'Extra Wide', ' Color': 'Burgundy', ' Toe Shape': 'Round Toe', ' Euro Size': 'EUR 40', ' Type': 'Dress', ' Pattern': 'Solid', ' Outsole Material': 'Leather', ' Upper Material': 'Leather', ' Shoe Shaft Style': 'Low Top', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/PzcAAOSwm6xeKcrm/s-l300.jpg,https://i.ebayimg.com/images/g/z2sAAOSw8hReKcrn/s-l300.jpg,https://i.ebayimg.com/images/g/FbMAAOSwM~deKcro/s-l300.jpg,https://i.ebayimg.com/images/g/0hYAAOSwcaZeKcrp/s-l300.jpg,https://i.ebayimg.com/images/g/Q8oAAOSwcOBeKcrq/s-l300.jpg,https://i.ebayimg.com/images/g/pbsAAOSw2cheKcrr/s-l300.jpg,https://i.ebayimg.com/images/g/PzcAAOSwm6xeKcrm/s-l300.jpg,https://i.ebayimg.com/images/g/z2sAAOSw8hReKcrn/s-l300.jpg,https://i.ebayimg.com/images/g/FbMAAOSwM~deKcro/s-l300.jpg,https://i.ebayimg.com/images/g/0hYAAOSwcaZeKcrp/s-l300.jpg,https://i.ebayimg.com/images/g/Q8oAAOSwcOBeKcrq/s-l300.jpg,https://i.ebayimg.com/images/g/pbsAAOSw2cheKcrr/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Mens Matchcourt Sneakers Black Comfort Camouflage Slip On BB8632 8.5 New,https://www.ebay.com/itm/Adidas-Mens-Matchcourt-Sneakers-Black-Comfort-Camouflage-Slip-On-BB8632-8-5-New/193295317338?hash=item2d014c795a:g:pWAAAOSwZCBeGUhg,193295317338,"

Adidas Mens Matchcourt Sneakers Black Comfort Camouflage Slip On BB8632 8.5 New

A few blemishes on the white of shoe, please see pictures. Very nice shoes!

Brand: Adidas
Style: Sneakers 
Size: 8.5
Color: Black
Style Number: BB8632
Secondary Color: Blue
Activity: Comfort
Euro Size: EUR 42
Pattern: Camouflage 
Fastening: Slip On
Product Line: Adidas Matchcourt
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $50.00,"{' Condition': 'New without box', ' Color': 'Black', ' Activity': 'Comfort', ' Brand': 'adidas', ' Euro Size': 'EUR 42', ' Style': 'Sneakers', ' Pattern': 'Camouflage', ' Size': '8.5', ' Fastening': 'Slip On', ' Style Number (Mpn)': 'BB8632', ' Product Line': 'adidas Matchcourt', ' Secondary Color': 'Blue', ' Country/Region of Manufacture': 'Vietnam', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/pWAAAOSwZCBeGUhg/s-l300.jpg,https://i.ebayimg.com/images/g/UIEAAOSw-eleGUhh/s-l300.jpg,https://i.ebayimg.com/images/g/ilsAAOSwiMBeGUhi/s-l300.jpg,https://i.ebayimg.com/images/g/gfMAAOSwsFJeGUhi/s-l300.jpg,https://i.ebayimg.com/images/g/m4IAAOSwx1ReGUhj/s-l300.jpg,https://i.ebayimg.com/images/g/UWwAAOSwP8leGUhk/s-l300.jpg,https://i.ebayimg.com/images/g/9bAAAOSw6INeGUhl/s-l300.jpg,https://i.ebayimg.com/images/g/pWAAAOSwZCBeGUhg/s-l300.jpg,https://i.ebayimg.com/images/g/UIEAAOSw-eleGUhh/s-l300.jpg,https://i.ebayimg.com/images/g/ilsAAOSwiMBeGUhi/s-l300.jpg,https://i.ebayimg.com/images/g/gfMAAOSwsFJeGUhi/s-l300.jpg,https://i.ebayimg.com/images/g/m4IAAOSwx1ReGUhj/s-l300.jpg,https://i.ebayimg.com/images/g/UWwAAOSwP8leGUhk/s-l300.jpg,https://i.ebayimg.com/images/g/9bAAAOSw6INeGUhl/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Nike Air Jordan 14 Retro Last Shot Mens Basketball Shoes Black 311832-002 11.5,https://www.ebay.com/itm/Nike-Air-Jordan-14-Retro-Last-Shot-Mens-Basketball-Shoes-Black-311832-002-11-5/193232580462?hash=item2cfd8f2f6e:g:OKUAAOSw9qFd4Fr3,193232580462,"
Nike Air Jordan 14 Retro Last Shot Mens Basketball Shoes Black 311832-002 11.5

Very rare, excellent condition. Personal collection, no original box. SKU:D00.

Brand: Nike
Style: Basketball Shoes 
Size: 11.5
Color: Black
Style Number: 311832-002
Secondary Color: Red
Activity: Basketball
Model: Nike Air Jordan 14 Retro Last Shot
Euro Size: 45.5
Pattern: Solid 
Fastening: Lace Up
Year: 2005
Product Line: Nike Air Jordan
Shoe Height: Low Top
Country/Region Of Manufacture: China

Sold as pictured. Thanks for looking!

We accept unused/unworn returns for any reason within 30 days, just message us with any questions if you’re not 100% satisfied and we will respond within 24 hours.",Pre-owned,US $179.99,"{' Condition': 'Pre-owned', ' Color': 'Black', ' Euro Size': '45.5', ' Brand': 'Nike', ' Pattern': 'Solid', ' Style': 'Basketball Shoes', ' Fastening': 'Lace Up', ' Size': '11.5', ' Year': '2005', ' Style Number (Mpn)': '311832-002', ' Product Line': 'Nike Air Jordan', ' Secondary Color': 'Red', ' Shoe Height': 'Low Top', ' Activity': 'Basketball', ' Country/Region of Manufacture': 'China', ' Model': 'Nike Air Jordan 14 Retro Last Shot', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/OKUAAOSw9qFd4Fr3/s-l300.jpg,https://i.ebayimg.com/images/g/87wAAOSwXiVd4Fr4/s-l300.jpg,https://i.ebayimg.com/images/g/pU4AAOSwwFld4Fr5/s-l300.jpg,https://i.ebayimg.com/images/g/tJAAAOSwdvxd4Fr6/s-l300.jpg,https://i.ebayimg.com/images/g/YlYAAOSwvyBd4Fr6/s-l300.jpg,https://i.ebayimg.com/images/g/AewAAOSwUgVd4Fr7/s-l300.jpg,https://i.ebayimg.com/images/g/OKUAAOSw9qFd4Fr3/s-l300.jpg,https://i.ebayimg.com/images/g/87wAAOSwXiVd4Fr4/s-l300.jpg,https://i.ebayimg.com/images/g/pU4AAOSwwFld4Fr5/s-l300.jpg,https://i.ebayimg.com/images/g/tJAAAOSwdvxd4Fr6/s-l300.jpg,https://i.ebayimg.com/images/g/YlYAAOSwvyBd4Fr6/s-l300.jpg,https://i.ebayimg.com/images/g/AewAAOSwUgVd4Fr7/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Mens NMD R1 3 Stripes Running Shoes Black White Lace Up S76519 18 New,https://www.ebay.com/itm/Adidas-Mens-NMD-R1-3-Stripes-Running-Shoes-Black-White-Lace-Up-S76519-18-New/193302539116?hash=item2d01baab6c:g:zyQAAOSw-qleH~Nd,193302539116,"

Adidas Mens NMD R1 3 Stripes Running Shoes Black White Lace Up S76519 18 New

Brand: Adidas
Style: Running Shoes 
Size: 18
Color: Black
Style Number: S76519
Secondary Color: White
Model: NMD R1 3 Stripes
Pattern: Solid 
Fastening: Lace Up
Year: 2016
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $250.00,"{' Condition': 'New without box', ' Color': 'Black', ' Model': 'NMD R1 3 Stripes', ' Brand': 'adidas', ' Pattern': 'Solid', ' Style': 'Running Shoes', ' Fastening': 'Lace Up', ' Size': '18', ' Year': '2016', ' Style Number (Mpn)': 'S76519', ' Country/Region of Manufacture': 'Vietnam', ' Secondary Color': 'White', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/zyQAAOSw-qleH~Nd/s-l300.jpg,https://i.ebayimg.com/images/g/8pkAAOSwhDJeH~Ne/s-l300.jpg,https://i.ebayimg.com/images/g/VvsAAOSwZQ9eH~Nf/s-l300.jpg,https://i.ebayimg.com/images/g/itkAAOSwYUpeH~Ng/s-l300.jpg,https://i.ebayimg.com/images/g/WucAAOSwQOFeH~Nh/s-l300.jpg,https://i.ebayimg.com/images/g/DBYAAOSwlTBeH~Nh/s-l300.jpg,https://i.ebayimg.com/images/g/lWUAAOSwUOJeH~Ni/s-l300.jpg,https://i.ebayimg.com/images/g/-HMAAOSwgeZeH~Nj/s-l300.jpg,https://i.ebayimg.com/images/g/zyQAAOSw-qleH~Nd/s-l300.jpg,https://i.ebayimg.com/images/g/8pkAAOSwhDJeH~Ne/s-l300.jpg,https://i.ebayimg.com/images/g/VvsAAOSwZQ9eH~Nf/s-l300.jpg,https://i.ebayimg.com/images/g/itkAAOSwYUpeH~Ng/s-l300.jpg,https://i.ebayimg.com/images/g/WucAAOSwQOFeH~Nh/s-l300.jpg,https://i.ebayimg.com/images/g/DBYAAOSwlTBeH~Nh/s-l300.jpg,https://i.ebayimg.com/images/g/lWUAAOSwUOJeH~Ni/s-l300.jpg,https://i.ebayimg.com/images/g/-HMAAOSwgeZeH~Nj/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Sebago Mens Loafers Slip On Shoes Brown B76654 Leather Casual Dress 9 New,https://www.ebay.com/itm/Sebago-Mens-Loafers-Slip-On-Shoes-Brown-B76654-Leather-Casual-Dress-9-New/193243431507?hash=item2cfe34c253:g:0y4AAOSwRi9d6ct7,193243431507,"
Sebago Mens Loafers Slip On Shoes Brown Genuine Leather Casual Dress 9 New

Size 9.

Brand: Sebago
Style: Loafers & Slip Ons Shoes 
Size: 9
Color: Brown
Upper Material: Leather
Pattern: Solid 
Closure: Slip On 

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day",New without box,US $49.99,"{' Condition': 'New without box', ' Brand': 'Sebago', ' Features': 'None', ' Closure': 'Slip On', ' Shoe Width': 'Unknown', ' Upper Material': 'Leather', ' Pattern': 'Solid', ' Type': 'Dress', ' Euro Size': 'Unknown', ' Country/Region of Manufacture': 'Unknown', ' Occasion': 'Casual', ' Style': 'Loafers & Slip Ons Shoes', ' Department': 'Men', ' Secondary Color': 'None', ' Size': '9', ' Color': 'Brown', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/0y4AAOSwRi9d6ct7/s-l300.jpg,https://i.ebayimg.com/images/g/UmAAAOSwkYld6ct8/s-l300.jpg,https://i.ebayimg.com/images/g/VtgAAOSwP0Zd6ct9/s-l300.jpg,https://i.ebayimg.com/images/g/nxIAAOSwl2dd6ct-/s-l300.jpg,https://i.ebayimg.com/images/g/0BoAAOSwNhNd6ct~/s-l300.jpg,https://i.ebayimg.com/images/g/A~IAAOSwUrxd6cuA/s-l300.jpg,https://i.ebayimg.com/images/g/4goAAOSwg~Rd6cuB/s-l300.jpg,https://i.ebayimg.com/images/g/0y4AAOSwRi9d6ct7/s-l300.jpg,https://i.ebayimg.com/images/g/UmAAAOSwkYld6ct8/s-l300.jpg,https://i.ebayimg.com/images/g/VtgAAOSwP0Zd6ct9/s-l300.jpg,https://i.ebayimg.com/images/g/nxIAAOSwl2dd6ct-/s-l300.jpg,https://i.ebayimg.com/images/g/0BoAAOSwNhNd6ct~/s-l300.jpg,https://i.ebayimg.com/images/g/A~IAAOSwUrxd6cuA/s-l300.jpg,https://i.ebayimg.com/images/g/4goAAOSwg~Rd6cuB/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Merrell Womens Vapor Glove 2 Trail Running Shoes Black Lace Up J32628 9.5 9.5M M,https://www.ebay.com/itm/Merrell-Womens-Vapor-Glove-2-Trail-Running-Shoes-Black-Lace-Up-J32628-9-5-9-5M-M/193254171368?hash=item2cfed8a2e8:g:HK4AAOSwiaVd8SV~,193254171368,"
Merrell Women's Vapor Glove 2 Trail Running Shoes Black Lace Up J32628 9.5 M New

Brand New in Box.

Brand: Merrell
Size: 9.5
Style: Running Shoes 
Color: Black
EU Size: 40
Width: M
Style Number: J32628
Shoe Height: Low Top
Activity: Running
Pattern: Geometric 
Fastening: Lace Up
Features: Barefoot

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day",New with box,US $49.99,"{' Condition': 'New with box', ' Size': '9.5', ' Activity': 'Running', ' Department': 'Women', ' Shoe Height': 'Low Top', ' Style': 'Running Shoes', ' Style Number (Mpn)': 'J32628', "" US Shoe Size (Women's)"": 'US 9.5', ' Features': 'Barefoot', ' Pattern': 'Geometric', ' Width': 'M', ' Eu Size': '40', ' Color': 'Black', ' Fastening': 'Lace Up', ' Closure': 'Lace Up', ' Type': 'Athletic', ' Brand': 'Merrell', ' UPC': '044212288658'}",",https://i.ebayimg.com/images/g/HK4AAOSwiaVd8SV~/s-l300.jpg,https://i.ebayimg.com/images/g/2tkAAOSwYPJd8SWA/s-l300.jpg,https://i.ebayimg.com/images/g/MecAAOSwvjNd8SWB/s-l300.jpg,https://i.ebayimg.com/images/g/jJQAAOSwbb5d8SWC/s-l300.jpg,https://i.ebayimg.com/images/g/sLQAAOSwgiVd8SWD/s-l300.jpg,https://i.ebayimg.com/images/g/q8sAAOSwm2pd8SWD/s-l300.jpg,https://i.ebayimg.com/images/g/HK4AAOSwiaVd8SV~/s-l300.jpg,https://i.ebayimg.com/images/g/2tkAAOSwYPJd8SWA/s-l300.jpg,https://i.ebayimg.com/images/g/MecAAOSwvjNd8SWB/s-l300.jpg,https://i.ebayimg.com/images/g/jJQAAOSwbb5d8SWC/s-l300.jpg,https://i.ebayimg.com/images/g/sLQAAOSwgiVd8SWD/s-l300.jpg,https://i.ebayimg.com/images/g/q8sAAOSwm2pd8SWD/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
Adidas Originals Mens Forum Lo Sneakers Brown Lace Up Perforated BY3650 7.5 New,https://www.ebay.com/itm/Adidas-Originals-Mens-Forum-Lo-Sneakers-Brown-Lace-Up-Perforated-BY3650-7-5-New/193281725263?hash=item2d007d134f:g:T0QAAOSwHwleDK0H,193281725263,"

Adidas Originals Mens Forum Lo Sneakers Brown Lace Up Perforated BY3650 7.5 New

Brand: Adidas
Style: Sneakers 
Size: 7.5
Color: Brown
Style Number: BY3650
Pattern: Solid 
Fastening: Lace Up
Features: Perforated
Shoe Height: Low Top
Country/Region Of Manufacture: Vietnam

Sold as pictured. Thanks for looking!

-30 day returns on unused/unworn items
-100% authenticity guaranteed
-Items ship next business day
-We will pay return shipping if you contact us firstThis listing was easily created using the SellHound Posting App!",New without box,US $79.00,"{' Condition': 'New without box', ' Brand': 'adidas', ' Pattern': 'Solid', ' Style': 'Sneakers', ' Fastening': 'Lace Up', ' Color': 'Brown', ' Features': 'Perforated', ' Size': '7.5', ' Shoe Height': 'Low Top', ' Style Number (Mpn)': 'BY3650', ' Country/Region of Manufacture': 'Vietnam', ' UPC': 'Does Not Apply'}",",https://i.ebayimg.com/images/g/T0QAAOSwHwleDK0H/s-l300.jpg,https://i.ebayimg.com/images/g/i28AAOSwmgNeDK0I/s-l300.jpg,https://i.ebayimg.com/images/g/TlYAAOSwvcheDK0J/s-l300.jpg,https://i.ebayimg.com/images/g/q6AAAOSwPFBeDK0K/s-l300.jpg,https://i.ebayimg.com/images/g/fqAAAOSwpIBeDK0L/s-l300.jpg,https://i.ebayimg.com/images/g/omEAAOSwsAdeDK0M/s-l300.jpg,https://i.ebayimg.com/images/g/8JoAAOSwrWBeDK0M/s-l300.jpg,https://i.ebayimg.com/images/g/9FcAAOSwxIleDK0N/s-l300.jpg,https://i.ebayimg.com/images/g/T0QAAOSwHwleDK0H/s-l300.jpg,https://i.ebayimg.com/images/g/i28AAOSwmgNeDK0I/s-l300.jpg,https://i.ebayimg.com/images/g/TlYAAOSwvcheDK0J/s-l300.jpg,https://i.ebayimg.com/images/g/q6AAAOSwPFBeDK0K/s-l300.jpg,https://i.ebayimg.com/images/g/fqAAAOSwpIBeDK0L/s-l300.jpg,https://i.ebayimg.com/images/g/omEAAOSwsAdeDK0M/s-l300.jpg,https://i.ebayimg.com/images/g/8JoAAOSwrWBeDK0M/s-l300.jpg,https://i.ebayimg.com/images/g/9FcAAOSwxIleDK0N/s-l300.jpg","
$25.00

","
				USPS First Class Mail International / First Class Package International Service
",Seller does not accept returns
